,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2025-04-29 13:42:46,2025-04-29 12:57:52,13848,770.0,654.0,107,4667.0,691.0,1858.0,18977.0,2025-04-23 10:34:25,1.11.0,28157.0,612.0,45.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2112.0,2112.0,176.0,34,False,1,
1,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2025-04-28 13:34:32,2025-04-28 13:00:19,1912,39.0,402.0,51,763.0,191.0,608.0,7289.0,2023-02-04 17:27:40,0.2.5,2186784.0,21867.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,351.0,351.0,134.0,30,True,1,Apache-2.0
2,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2025-04-25 21:08:49,2025-04-08 15:52:11,920,40.0,120.0,13,446.0,48.0,253.0,2470.0,2025-03-02 00:50:38,1.42.2,133318.0,10255.0,8.0,A snapshot testing library for rust.,12167.0,12167.0,60.0,30,True,1,Apache-2.0
3,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2025-04-28 15:50:49,2025-04-28 15:41:40,22439,794.0,1619.0,86,7242.0,2192.0,5182.0,11954.0,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,34.0,34.0,1227.0,28,False,1,
4,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2025-04-25 02:59:03,2025-03-21 07:36:37,1027,7.0,176.0,19,295.0,113.0,161.0,1854.0,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,41865.0,41865.0,77.0,26,True,3,Apache-2.0
5,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,2015-11-12 21:51:25,2025-04-29 07:43:27,2025-04-29 07:18:23,17188,1070.0,370.0,59,3239.0,142.0,912.0,5093.0,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,310.0,25,True,2,Apache-2.0
6,zbus,dbus2/zbus,['dbus'],ipc,https://github.com/dbus2/zbus,https://github.com/dbus2/zbus,2023-05-11 07:39:49,2025-04-28 23:15:05,2025-04-28 20:09:37,5480,136.0,103.0,6,786.0,98.0,436.0,476.0,2025-02-07 17:40:42,zbus-5.5.0,,,100.0,Rust D-Bus crate.,34081.0,34081.0,113.0,25,False,1,
7,rust-skia,rust-skia/rust-skia,[],graphics,https://github.com/rust-skia/rust-skia,https://github.com/rust-skia/rust-skia,2018-12-07 07:25:31,2025-04-11 07:53:07,2025-04-11 07:53:07,3846,52.0,141.0,27,704.0,37.0,304.0,1562.0,,,367.0,5.0,100.0,Rust Bindings for the Skia Graphics Library.,9.0,9.0,56.0,22,True,1,MIT
8,linux-embedded-hal,rust-embedded/linux-embedded-hal,[],hal,https://github.com/rust-embedded/linux-embedded-hal,https://github.com/rust-embedded/linux-embedded-hal,2018-01-16 23:34:53,2025-02-07 09:21:52,2025-02-07 09:20:44,213,4.0,45.0,21,78.0,20.0,21.0,261.0,2024-01-12 09:32:50,0.4.0,,,5.0,Implementation of the `embedded-hal` traits for Linux devices.,1419.0,1419.0,29.0,22,True,1,Apache-2.0
9,kas,siemens/kas,[],yocto,https://github.com/siemens/kas,https://github.com/siemens/kas,2017-06-13 12:11:57,2025-04-25 16:55:02,2025-04-24 06:35:20,1019,54.0,170.0,25,45.0,15.0,91.0,447.0,,,,,,Setup tool for bitbake based projects.,86.0,86.0,78.0,21,True,1,MIT
