,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,new_addition
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2025-05-06 19:31:24,2025-05-06 19:31:24,13907,774.0,662.0,107,4723.0,754.0,1868.0,19015.0,2025-04-23 10:34:25,1.11.0,28582.0,608.0,45.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2129.0,2129.0,359.0,34,False,1,,
1,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,2019-08-09 17:59:37,2025-05-06 18:54:39,2025-05-05 14:49:45,1240,57.0,1068.0,78,1246.0,287.0,610.0,10813.0,2025-05-05 14:56:37,0.13.1,,,6.0,A native gRPC client & server implementation with async/await support.,43682.0,43682.0,275.0,33,True,1,MIT,
2,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2025-04-28 13:34:32,2025-04-28 13:00:19,1912,39.0,400.0,51,763.0,192.0,609.0,7305.0,2023-02-04 17:27:40,0.2.5,2205151.0,21833.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,351.0,351.0,134.0,30,True,1,Apache-2.0,
3,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2025-04-29 19:14:55,2025-04-29 19:13:38,923,40.0,121.0,13,449.0,55.0,254.0,2473.0,2025-04-29 19:19:35,1.43.1,140235.0,10016.0,9.0,A snapshot testing library for rust.,12259.0,12259.0,60.0,30,True,1,Apache-2.0,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2025-05-06 18:37:55,2025-05-06 18:30:14,22485,774.0,1618.0,86,7261.0,2287.0,5194.0,11986.0,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,34.0,34.0,1230.0,28,False,1,,
5,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2025-05-01 02:42:07,2025-04-30 04:51:06,1028,7.0,176.0,19,296.0,119.0,161.0,1861.0,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,42098.0,42098.0,77.0,26,True,3,Apache-2.0,
6,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,2015-11-12 21:51:25,2025-05-05 13:39:52,2025-05-05 13:11:48,17280,990.0,371.0,59,3249.0,139.0,911.0,5106.0,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,311.0,25,True,2,Apache-2.0,
7,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,2022-02-16 06:38:36,2025-04-26 06:31:55,2025-04-26 06:31:28,596,12.0,70.0,12,169.0,30.0,118.0,1907.0,2025-04-26 06:33:13,0.20.0,189827.0,4867.0,93.0,Compile Cargo project with zig as linker.,135.0,135.0,31.0,25,True,3,MIT,
8,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,2022-11-26 19:26:15,2025-05-06 05:00:11,2025-05-06 05:00:03,684,107.0,126.0,14,85.0,2.0,246.0,1285.0,2024-11-21 20:47:00,2.0.0-rc.9,,,30.0,Fast ML inference & training for ONNX models in Rust.,2846.0,2846.0,43.0,25,True,1,Apache-2.0,True
9,zbus,dbus2/zbus,['dbus'],ipc,https://github.com/dbus2/zbus,https://github.com/dbus2/zbus,2023-05-11 07:39:49,2025-05-06 11:25:16,2025-05-06 11:14:06,5528,158.0,105.0,6,799.0,101.0,441.0,483.0,2025-05-03 21:20:54,zbus-5.6.0,,,100.0,Rust D-Bus crate.,34672.0,34672.0,113.0,25,False,1,,
10,rust-skia,rust-skia/rust-skia,[],graphics,https://github.com/rust-skia/rust-skia,https://github.com/rust-skia/rust-skia,2018-12-07 07:25:31,2025-05-03 06:56:23,2025-05-03 06:56:18,3878,66.0,147.0,27,708.0,52.0,304.0,1569.0,,,367.0,5.0,100.0,Rust Bindings for the Skia Graphics Library.,9.0,9.0,60.0,22,True,1,MIT,
11,ntpd-rs,pendulum-project/ntpd-rs,[],time-sync,https://github.com/pendulum-project/ntpd-rs,https://github.com/pendulum-project/ntpd-rs,2022-03-04 19:15:34,2025-05-06 01:17:09,2025-05-01 11:54:05,2772,57.0,46.0,18,1594.0,39.0,232.0,866.0,2025-02-28 11:36:15,1.5.0,2798.0,82.0,32.0,"A full-featured implementation of the Network Time Protocol, including NTS support.",10.0,10.0,33.0,22,False,1,,
12,kas,siemens/kas,[],yocto,https://github.com/siemens/kas,https://github.com/siemens/kas,2017-06-13 12:11:57,2025-05-06 14:50:52,2025-04-25 16:54:08,1024,52.0,170.0,25,45.0,15.0,91.0,451.0,,,,,,Setup tool for bitbake based projects.,86.0,86.0,79.0,21,True,1,MIT,
13,linux-embedded-hal,rust-embedded/linux-embedded-hal,[],hal,https://github.com/rust-embedded/linux-embedded-hal,https://github.com/rust-embedded/linux-embedded-hal,2018-01-16 23:34:53,2025-02-07 09:21:52,2025-02-07 09:20:44,213,3.0,45.0,21,78.0,20.0,21.0,260.0,2024-01-12 09:32:50,0.4.0,,,5.0,Implementation of the `embedded-hal` traits for Linux devices.,1425.0,1425.0,29.0,21,True,1,Apache-2.0,
14,rust-i2cdev,rust-embedded/rust-i2cdev,[],character-device-drivers,https://github.com/rust-embedded/rust-i2cdev,https://github.com/rust-embedded/rust-i2cdev,2015-08-19 04:21:00,2025-03-04 21:00:16,2025-03-04 20:56:31,219,4.0,54.0,19,60.0,6.0,26.0,219.0,2023-08-09 07:58:32,0.6.0,,,3.0,Rust library for interfacing with i2c devices under Linux.,1032.0,1032.0,29.0,21,True,1,Apache-2.0,
15,divan,nvzqz/divan,[],tools,https://github.com/nvzqz/divan,https://github.com/nvzqz/divan,2023-06-30 05:01:57,2025-04-17 04:02:42,2025-04-14 22:32:17,480,26.0,33.0,8,26.0,35.0,12.0,1126.0,,,,,,Fast and simple benchmarking for Rust projects.,1075.0,1075.0,9.0,19,True,3,Apache-2.0,
16,ros2_rust,ros2-rust/ros2_rust,[],robotics,https://github.com/ros2-rust/ros2_rust,https://github.com/ros2-rust/ros2_rust,2017-11-26 10:45:09,2025-03-13 16:30:33,2025-03-13 16:30:33,276,6.0,150.0,39,276.0,51.0,123.0,1112.0,2023-11-28 15:50:17,0.4.1,,,5.0,Rust bindings for ROS 2.,,,47.0,19,True,1,Apache-2.0,
17,rosrust,adnanademovic/rosrust,[],robotics,https://github.com/adnanademovic/rosrust,https://github.com/adnanademovic/rosrust,2016-07-12 11:05:32,2025-02-03 22:32:01,2025-02-03 22:31:20,708,,76.0,23,102.0,49.0,72.0,760.0,2020-08-24 14:04:42,0.9.5,,,19.0,Pure Rust implementation of a ROS client library.,234.0,234.0,19.0,19,True,1,MIT,
