,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,license,trending,updated_github_id
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2025-11-20 17:21:54,2025-11-20 16:17:01,15620,924.0,782.0,112,5847.0,829.0,2213.0,21040,2025-10-23 10:51:56,1.14.1,44068.0,831.0,51.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2332.0,2332.0,527.0,35,False,1,,,
1,Turso Database,tursodatabase/turso,[],edb,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,2023-08-26 09:21:36,2025-11-20 17:41:42,2025-11-20 17:41:41,10954,2953.0,601.0,65,2722.0,362.0,898.0,14747,2025-11-02 11:08:41,0.3.2,10631.0,885.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",29.0,29.0,194.0,33,True,1,MIT,,
2,tonic,hyperium/tonic,[],isc,https://github.com/hyperium/tonic,https://github.com/hyperium/tonic,2019-08-09 17:59:37,2025-11-19 18:02:24,2025-11-19 18:02:24,1331,19.0,1150.0,73,1370.0,295.0,638.0,11559,2025-09-02 17:57:19,0.14.2,,,9.0,A native gRPC client & server implementation with async/await support.,48214.0,48214.0,297.0,33,True,1,MIT,,
3,tracing,tokio-rs/tracing,[],tools,https://github.com/tokio-rs/tracing,https://github.com/tokio-rs/tracing,2019-01-11 18:17:15,2025-11-20 09:07:01,2025-11-20 09:07:00,1572,23.0,832.0,52,2032.0,786.0,578.0,6347,2025-08-29 19:12:08,tracing-subscriber-0.3.20,,,96.0,Application level tracing for Rust.,456326.0,456326.0,312.0,32,True,1,MIT,1.0,
4,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2025-11-20 05:14:24,2025-11-20 05:09:40,950,18.0,134.0,10,480.0,62.0,265.0,2635,2025-09-04 18:39:02,1.43.2,346847.0,17342.0,10.0,A snapshot testing library for rust.,14463.0,14463.0,67.0,30,True,1,Apache-2.0,,
5,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2025-09-26 13:55:13,2025-09-26 13:47:09,1927,6.0,423.0,44,777.0,214.0,620.0,7832,2023-02-04 17:27:40,0.2.5,2748577.0,25687.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,359.0,359.0,140.0,29,True,1,Apache-2.0,,
6,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2025-11-20 13:02:25,2025-11-20 12:52:44,24320,770.0,1808.0,78,8034.0,2526.0,5643.0,12646,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,37.0,37.0,1320.0,28,False,1,,,
7,redb,cberner/redb,[],edb,https://github.com/cberner/redb,https://github.com/cberner/redb,2018-09-23 18:30:14,2025-10-28 00:01:21,2025-10-28 00:01:21,1400,21.0,188.0,27,723.0,10.0,357.0,4061,2025-09-25 21:46:53,3.1.0,,,59.0,An embedded key-value database in pure Rust.,1495.0,1495.0,35.0,28,True,2,Apache-2.0,,
8,cargo-deny,EmbarkStudios/cargo-deny,[],tools,https://github.com/EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/cargo-deny,2019-05-13 07:50:05,2025-10-28 15:30:14,2025-10-28 15:29:44,514,4.0,109.0,13,429.0,80.0,269.0,2101,2025-09-22 14:00:30,0.18.5,5259423.0,68304.0,99.0,Cargo plugin for linting your dependencies.,98.0,98.0,74.0,27,True,2,Apache-2.0,,
9,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2025-11-20 10:53:16,2025-11-20 10:53:15,1091,42.0,196.0,19,331.0,132.0,166.0,1970,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,46778.0,46778.0,87.0,27,True,3,Apache-2.0,,
10,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,2022-11-26 19:26:15,2025-11-20 07:29:08,2025-11-20 07:29:04,786,54.0,168.0,14,112.0,4.0,307.0,1731,2025-06-05 04:54:58,2.0.0-rc.10,,,31.0,Fast ML inference & training for ONNX models in Rust.,3424.0,3424.0,58.0,27,True,1,Apache-2.0,1.0,
11,russh,Eugeny/russh,['pure-rust'],ssh,https://github.com/Eugeny/russh,https://github.com/Eugeny/russh,2022-02-07 22:04:56,2025-11-10 10:50:43,2025-11-10 10:50:43,739,28.0,173.0,5,355.0,51.0,171.0,1465,2025-09-24 21:10:22,0.54.4,,,52.0,Rust SSH client & server library.,1596.0,1596.0,88.0,26,True,1,Apache-2.0,,
12,miri,rust-lang/miri,[],tools,https://github.com/rust-lang/miri,https://github.com/rust-lang/miri,2015-11-12 21:51:25,2025-11-20 07:42:01,2025-11-20 07:13:53,20160,1130.0,392.0,51,3558.0,161.0,981.0,5606,,,,,,An interpreter for Rusts mid-level intermediate representation.,,,344.0,25,True,2,Apache-2.0,,
13,zbus,dbus2/zbus,['dbus'],ipc,https://github.com/z-galaxy/zbus,https://github.com/z-galaxy/zbus,2023-05-11 07:39:49,2025-11-20 17:07:17,2025-11-20 17:07:15,5845,146.0,128.0,6,984.0,95.0,471.0,595,2025-10-15 14:38:17,zbus-5.12.0,,,100.0,Rust D-Bus crate.,40944.0,40944.0,129.0,25,False,1,,,z-galaxy/zbus
14,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,2022-02-16 06:38:36,2025-11-19 14:35:56,2025-11-19 14:35:54,612,7.0,79.0,11,188.0,37.0,127.0,2207,2025-07-18 00:25:59,0.20.1,295739.0,6571.0,94.0,Compile Cargo project with zig as linker.,147.0,147.0,35.0,24,True,3,MIT,1.0,
