,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,Turso Database,tursodatabase/turso,[],edb,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,MIT,2023-08-26 09:21:36,2026-06-11 17:36:42,2026-06-11 17:36:39,17885,1934.0,1005.0,79,4923.0,724.0,1786.0,19145,2026-05-22 09:34:48,0.6.1,19820.0,2477.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",140.0,140.0,718.0,36,True,1,,
1,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,,2020-05-04 08:53:03,2026-06-11 18:27:24,2026-06-11 18:27:21,17705,1265.0,903.0,118,7286.0,836.0,2605.0,22869,2026-04-23 14:51:55,1.16.1,65816.0,1096.0,55.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2584.0,2584.0,670.0,35,False,1,,
2,tracing,tokio-rs/tracing,[],tools,https://github.com/tokio-rs/tracing,https://github.com/tokio-rs/tracing,MIT,2019-01-11 18:17:15,2026-05-30 06:42:00,2026-05-30 06:42:00,1612,12.0,899.0,52,2116.0,855.0,594.0,6734,2026-04-17 13:23:32,tracing-appender-0.2.5,,,100.0,Application level tracing for Rust.,504599.0,504599.0,339.0,32,True,1,,
3,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,Apache-2.0,2019-01-13 22:25:41,2026-06-11 14:13:13,2026-06-11 14:12:09,1006,16.0,150.0,11,549.0,72.0,296.0,2879,2026-06-11 14:16:45,1.48.0,870952.0,32257.0,24.0,A snapshot testing library for rust.,19288.0,19288.0,74.0,32,True,1,1.0,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,Apache-2.0,2014-11-19 07:49:21,2026-06-11 14:07:28,2026-06-11 13:53:53,25554,494.0,2033.0,75,8650.0,2731.0,5919.0,13264,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,40.0,40.0,1422.0,30,True,1,,
5,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,Apache-2.0,2016-12-25 18:48:10,2026-06-06 07:02:28,2026-06-06 06:59:20,1966,7.0,452.0,42,798.0,249.0,640.0,8210,2023-02-04 17:27:40,0.2.5,3486107.0,30579.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,359.0,359.0,148.0,30,True,1,,
6,redb,cberner/redb,[],edb,https://github.com/cberner/redb,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14,2026-06-11 15:29:08,2026-06-11 08:19:20,1561,155.0,212.0,25,883.0,8.0,371.0,4565,2026-04-19 21:15:38,4.1.0,,,64.0,An embedded key-value database in pure Rust.,2310.0,2310.0,40.0,29,True,2,,
7,cargo-deny,EmbarkStudios/cargo-deny,[],tools,https://github.com/EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/cargo-deny,Apache-2.0,2019-05-13 07:50:05,2026-06-05 13:03:52,2026-06-05 13:03:19,571,31.0,121.0,12,466.0,88.0,291.0,2333,2026-05-28 08:13:27,0.19.8,8488583.0,108827.0,100.0,Cargo plugin for linting your dependencies.,107.0,107.0,82.0,28,True,2,,
8,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,https://github.com/pykeio/ort,Apache-2.0,2022-11-26 19:26:15,2026-06-04 13:59:14,2026-06-04 13:58:46,966,46.0,230.0,14,138.0,5.0,375.0,2328,2026-03-05 05:41:17,2.0.0-rc.12,,,33.0,Fast ML inference & training for ONNX models in Rust.,4813.0,4813.0,71.0,28,True,1,,
9,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,Apache-2.0,2017-06-18 17:38:03,2026-05-27 03:48:49,2026-05-27 03:48:49,1151,33.0,211.0,19,356.0,138.0,172.0,2160,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,56889.0,56889.0,97.0,28,True,3,,
