,name,github_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,trending,license,updated_github_id
0,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,https://github.com/slint-ui/slint,2020-05-04 08:53:03,2026-06-18 17:14:05,2026-06-18 17:09:06,17811,1276.0,910.0,118,7360.0,838.0,2625.0,22935,2026-04-23 14:51:55,1.16.1,66327.0,1105.0,55.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",2597.0,2597.0,683.0,36,False,1,1.0,,
1,Turso Database,tursodatabase/turso,[],edb,https://github.com/tursodatabase/turso,https://github.com/tursodatabase/turso,2023-08-26 09:21:36,2026-06-18 18:07:56,2026-06-18 17:48:10,17986,1863.0,1009.0,79,4955.0,727.0,1790.0,19213,2026-05-22 09:34:48,0.6.1,20875.0,2982.0,100.0,"Turso is an in-process SQL database, compatible with SQLite.",140.0,140.0,751.0,36,True,1,,MIT,
2,tracing,tokio-rs/tracing,[],tools,https://github.com/tokio-rs/tracing,https://github.com/tokio-rs/tracing,2019-01-11 18:17:15,2026-05-30 06:42:00,2026-05-30 06:42:00,1612,12.0,899.0,52,2118.0,855.0,595.0,6745,2026-04-17 13:23:32,tracing-appender-0.2.5,,,100.0,Application level tracing for Rust.,506652.0,506652.0,339.0,32,True,1,,MIT,
3,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,https://github.com/mitsuhiko/insta,2019-01-13 22:25:41,2026-06-11 14:13:13,2026-06-11 14:12:09,1006,15.0,150.0,11,549.0,72.0,296.0,2883,2026-06-11 14:16:45,1.48.0,895133.0,33153.0,24.0,A snapshot testing library for rust.,19492.0,19492.0,74.0,32,True,1,,Apache-2.0,
4,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,https://github.com/rust-lang/rust-clippy,2014-11-19 07:49:21,2026-06-18 16:42:45,2026-06-18 16:12:14,25625,558.0,2036.0,75,8691.0,2731.0,5936.0,13289,,,,,,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,40.0,40.0,1431.0,30,True,1,,Apache-2.0,
5,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,https://github.com/cross-rs/cross,2016-12-25 18:48:10,2026-06-06 07:02:28,2026-06-06 06:59:20,1966,7.0,452.0,42,798.0,249.0,640.0,8223,2023-02-04 17:27:40,0.2.5,3525826.0,30928.0,25.0,Zero setup cross compilation and cross testing of Rust crates.,359.0,359.0,148.0,30,True,1,,Apache-2.0,
6,redb,cberner/redb,[],edb,https://github.com/cberner/redb,https://github.com/cberner/redb,2018-09-23 18:30:14,2026-06-18 16:10:19,2026-06-18 06:26:12,1571,163.0,212.0,24,892.0,8.0,371.0,4578,2026-04-19 21:15:38,4.1.0,,,64.0,An embedded key-value database in pure Rust.,2344.0,2344.0,40.0,29,True,2,,Apache-2.0,
7,cargo-deny,EmbarkStudios/cargo-deny,[],tools,https://github.com/EmbarkStudios/cargo-deny,https://github.com/EmbarkStudios/cargo-deny,2019-05-13 07:50:05,2026-06-15 14:40:57,2026-06-15 14:40:29,576,36.0,123.0,12,469.0,88.0,294.0,2342,2026-06-15 14:28:33,0.19.9,8695824.0,111484.0,100.0,Cargo plugin for linting your dependencies.,107.0,107.0,83.0,28,True,2,,Apache-2.0,
8,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,https://github.com/proptest-rs/proptest,2017-06-18 17:38:03,2026-05-27 03:48:49,2026-05-27 03:48:49,1151,23.0,211.0,19,356.0,138.0,172.0,2169,2020-04-11 20:41:30,0.9.6,,,2.0,Hypothesis-like property testing for Rust.,57321.0,57321.0,97.0,28,True,3,,Apache-2.0,
9,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,https://github.com/rust-cross/cargo-zigbuild,2022-02-16 06:38:36,2026-06-18 06:55:12,2026-06-16 14:58:40,707,24.0,94.0,11,252.0,20.0,161.0,2536,2026-06-18 07:23:19,0.23.0,697013.0,13404.0,100.0,Compile Cargo project with zig as linker.,162.0,162.0,49.0,27,True,3,,MIT,
