,name,github_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,github_url,license,created_at,updated_at,projectrank,fork_count,open_issue_count,star_count,description,show,projectrank_placing,trending
0,tracing,tokio-rs/tracing,[],tools,https://github.com/tokio-rs/tracing,517215.0,517215.0,339.0,https://github.com/tokio-rs/tracing,MIT,2019-01-11 18:17:15.000,2026-05-30 06:42:00,25,899.0,855.0,6728.0,Application level tracing for Rust.,True,1.0,
1,clippy,rust-lang/rust-clippy,[],tools,https://github.com/rust-lang/rust-clippy,40.0,40.0,1450.0,https://github.com/rust-lang/rust-clippy,Apache-2.0,2014-11-19 07:49:21.000,2026-07-09 19:06:47,20,2065.0,2853.0,13354.0,A bunch of lints to catch common mistakes and improve your Rust code. Book: https://doc.rust-lang.org/clippy/.,True,1.0,
2,insta,mitsuhiko/insta,[],testing,https://github.com/mitsuhiko/insta,20398.0,20398.0,75.0,https://github.com/mitsuhiko/insta,Apache-2.0,2019-01-13 22:25:41.000,2026-06-11 14:13:13,20,150.0,72.0,2879.0,A snapshot testing library for rust.,True,1.0,
3,proptest,proptest-rs/proptest,[],testing,https://github.com/proptest-rs/proptest,59920.0,59920.0,97.0,https://github.com/proptest-rs/proptest,Apache-2.0,2017-06-18 17:38:03.000,2026-05-27 03:48:49,20,215.0,137.0,2169.0,Hypothesis-like property testing for Rust.,True,1.0,
4,Turso Database,tursodatabase/turso,[],edb,https://github.com/tursodatabase/turso,141.0,141.0,904.0,https://github.com/tursodatabase/turso,MIT,2024-05-07 23:28:23.958,2026-07-22 15:46:41,19,1198.0,728.0,23336.0,"A SQL database in Rust: SQLite-compatible, now also speaking Postgres (experimental). The LLVM of databases.",True,1.0,-18.0
5,slint,slint-ui/slint,[],uis,https://github.com/slint-ui/slint,2655.0,2655.0,728.0,https://github.com/slint-ui/slint,,2020-05-04 08:53:03.000,2026-07-23 11:06:42,19,935.0,860.0,23285.0,"Slint is an open-source declarative GUI toolkit to build native user interfaces for Rust, C++, JavaScript, or Python..",False,1.0,-17.0
6,cross,cross-rs/cross,[],compilation,https://github.com/cross-rs/cross,359.0,359.0,150.0,https://github.com/cross-rs/cross,Apache-2.0,2016-12-25 18:48:10.000,2026-04-23 05:25:27,18,452.0,249.0,8163.0,Zero setup cross compilation and cross testing of Rust crates.,True,1.0,
7,ort,pykeio/ort,['x86_64'],aie,https://github.com/pykeio/ort,5291.0,5291.0,74.0,https://github.com/pykeio/ort,Apache-2.0,2022-11-26 19:26:15.000,2026-04-25 16:16:24,18,230.0,5.0,2203.0,Fast ML inference & training for ONNX models in Rust.,True,1.0,
8,russh,Eugeny/russh,['pure-rust'],ssh,https://github.com/Eugeny/russh,2520.0,2520.0,115.0,https://github.com/Eugeny/russh,Apache-2.0,2022-02-07 22:04:56.000,2026-07-22 19:18:06,18,269.0,70.0,1791.0,Rust SSH client & server library.,True,1.0,
9,rust-skia,rust-skia/rust-skia,[],graphics,https://github.com/rust-skia/rust-skia,3124.0,3124.0,73.0,https://github.com/rust-skia/rust-skia,MIT,2018-12-07 07:25:31.000,2026-06-17 06:58:39,18,189.0,56.0,1783.0,Rust Bindings for the Skia Graphics Library.,True,1.0,
10,redb,cberner/redb,[],edb,https://github.com/cberner/redb,2642.0,2642.0,41.0,https://github.com/cberner/redb,Apache-2.0,2018-09-23 18:30:14.000,2026-04-19 21:15:00,17,209.0,8.0,4421.0,An embedded key-value database in pure Rust.,True,2.0,
11,puffin,EmbarkStudios/puffin,[],tools,https://github.com/EmbarkStudios/puffin,1422.0,1422.0,45.0,https://github.com/EmbarkStudios/puffin,Apache-2.0,2020-08-10 09:03:31.000,2026-03-27 13:45:12,16,106.0,38.0,1696.0,Friendly little instrumentation profiler for Rust.,True,2.0,
12,cozo,cozodb/cozo,[],edb,https://github.com/cozodb/cozo,59.0,59.0,21.0,https://github.com/cozodb/cozo,MPL-2.0,2022-10-14 09:28:11.000,2024-12-04 12:49:06,15,151.0,47.0,4001.0,"A transactional, relational-graph-vector database that uses Datalog for query. The hippocampus for AI!.",False,2.0,
13,cargo-zigbuild,rust-cross/cargo-zigbuild,[],compilation,https://github.com/rust-cross/cargo-zigbuild,164.0,164.0,49.0,https://github.com/rust-cross/cargo-zigbuild,MIT,2022-02-16 06:38:36.000,2026-06-18 06:55:12,15,94.0,20.0,2535.0,Compile Cargo project with zig as linker.,True,3.0,
14,cargo-deny,EmbarkStudios/cargo-deny,[],tools,https://github.com/EmbarkStudios/cargo-deny,108.0,108.0,86.0,https://github.com/EmbarkStudios/cargo-deny,Apache-2.0,2019-05-13 07:50:05.000,2026-07-09 17:58:44,15,125.0,84.0,2365.0,Cargo plugin for linting your dependencies.,True,2.0,
15,divan,nvzqz/divan,[],tools,https://github.com/nvzqz/divan,2038.0,2038.0,10.0,https://github.com/nvzqz/divan,Apache-2.0,2023-06-30 05:01:57.000,2025-04-17 04:02:42,15,38.0,44.0,1315.0,Fast and simple benchmarking for Rust projects.,False,2.0,
16,kas,siemens/kas,[],yocto,https://github.com/siemens/kas,100.0,100.0,89.0,https://github.com/siemens/kas,MIT,2017-06-13 12:11:57.000,2026-06-24 12:54:18,15,204.0,9.0,576.0,Setup tool for bitbake based projects.,True,1.0,
17,ssh2-rs,alexcrichton/ssh2-rs,['c-dependency'],ssh,https://github.com/alexcrichton/ssh2-rs,,,83.0,https://github.com/alexcrichton/ssh2-rs,Apache-2.0,2014-09-18 05:10:52.000,2026-06-30 12:51:38,15,159.0,48.0,562.0,Rust bindings for libssh2.,True,3.0,
18,linux-embedded-hal,rust-embedded/linux-embedded-hal,[],hal,https://github.com/rust-embedded/linux-embedded-hal,1672.0,1672.0,32.0,https://github.com/rust-embedded/linux-embedded-hal,Apache-2.0,2018-01-16 23:34:53.000,2026-02-12 07:00:57,15,57.0,23.0,309.0,Implementation of the `embedded-hal` traits for Linux devices.,True,1.0,
